Team,ELO,Last 10 Game Plus-Minus
BOS,1725.5,130
OKC,1666.5,37
DEN,1665.3,74
DAL,1663.0,130
MIN,1639.6,70
LAL,1614.7,43
NOP,1599.2,36
PHX,1593.7,29
MIL,1591.4,19
GSW,1580.4,46
IND,1575.9,71
HOU,1575.0,100
LAC,1569.0,-4
SAC,1559.3,38
NYK,1554.4,116
ORL,1551.5,86
ATL,1528.3,32
MIA,1528.2,65
CLE,1500.9,-51
CHI,1500.1,-1
PHI,1436.3,2
BKN,1379.5,-66
SAS,1374.4,-30
MEM,1341.3,-100
UTA,1332.0,-122
POR,1287.5,-151
DET,1285.5,-133
CHA,1282.2,-131
WAS,1270.6,-106
TOR,1262.0,-164
